sample_id,track,label,context_limited,method,detected,judge_reason,api_calls,latency_seconds,total_tokens
Sample001,security,SQL_INJECTION,False,zero_shot,True,"The report explicitly identifies the SQL injection vulnerability due to unsanitized user input concatenated into the SQL query, provides the exact vulnerable line as evidence, and recommends using parameterized queries (PreparedStatement). This matches the target defect description.",1,7.244,300
Sample001,security,SQL_INJECTION,False,single_step,True,"The report lists SQL injection as the first issue, correctly identifies that user input is directly concatenated into the SQL query, and provides a corrected code using PreparedStatement with parameterized queries. The explanation is technically correct and matches the target defect.",1,5.924,730
Sample001,security,SQL_INJECTION,False,three_stage,True,"The report identifies SQL injection as the primary issue, explains that user-supplied parameters are concatenated directly into the SQL query without sanitization or parameterization, and provides a repair using PreparedStatement. The evidence and repair strategy are technically correct and match the target defect.",3,12.487,2221
Sample002,security,SQL_INJECTION,False,zero_shot,True,"Correctly identifies SQL injection due to direct concatenation of xingming into SQL query, and recommends parameterized query.",1,2.179,504
Sample002,security,SQL_INJECTION,False,single_step,True,"Correctly identifies SQL injection as primary root cause, with direct concatenation evidence and parameterized query fix.",1,8.743,1226
Sample002,security,SQL_INJECTION,False,three_stage,True,Correctly identifies SQL injection vulnerability with evidence of concatenation and provides parameterized query repair using CONCAT.,3,11.63,2581
Sample003,correctness,RESOURCE_LEAK,False,zero_shot,False,"The report focuses on SQL injection vulnerability and use of Statement vs PreparedStatement, but does not identify the resource leak (unclosed Connection, Statement, ResultSet) as the primary issue. It mentions 'resource leak' only in passing as a secondary issue in the single-step report, not in zero_shot.",1,2.598,478
Sample003,correctness,RESOURCE_LEAK,False,single_step,True,"The report explicitly lists 'Resource leak: Connection, Statement, and ResultSet are not closed' as an issue and recommends using try-with-resources to fix it. This correctly identifies the target defect with a technically sound explanation.",1,6.771,1021
Sample003,correctness,RESOURCE_LEAK,False,three_stage,True,"The report clearly identifies the resource leak as the primary issue, explains that Connection, Statement, and ResultSet are never closed, and provides a repair strategy using try-with-resources. The explanation is technically correct and matches the target defect.",3,17.303,2995
Sample004,correctness,SQL_SYNTAX_ERROR,False,zero_shot,True,"The report explicitly identifies the missing comma between 'name = ?' and 'pass = ?' in the UPDATE statement, which matches the target defect description.",1,1.879,392
Sample004,correctness,SQL_SYNTAX_ERROR,False,single_step,True,"The report lists the missing comma as the primary issue and provides a corrected SQL string with the comma added, correctly addressing the target defect.",1,6.356,923
Sample004,correctness,SQL_SYNTAX_ERROR,False,three_stage,True,"The report clearly states the missing comma between column assignments and provides a repair strategy and corrected code that inserts the comma, matching the target defect.",3,9.998,2199
Sample005,correctness,FIELD_MAPPING_ERROR,False,zero_shot,True,"The report correctly identifies that the column order in the INSERT statement does not match the parameter setting order, specifically pointing out that columns 3 (xingming) and 5 (zhuanye) are swapped, which matches the target defect description.",1,2.546,463
Sample005,correctness,FIELD_MAPPING_ERROR,False,single_step,True,"The report correctly identifies the column order mismatch, stating that the setString calls assign values in a different order than the SQL column order, resulting in zhuanye being stored in xingming and xingming in zhuanye, which matches the target defect.",1,8.296,1050
Sample005,correctness,FIELD_MAPPING_ERROR,False,three_stage,True,"The report correctly identifies the parameter order mismatch between the SQL column list and PreparedStatement setter calls, specifically noting that positions 3 and 5 are swapped, which matches the target defect description.",3,13.149,3069
Sample006,security,SQL_INJECTION,False,zero_shot,True,"The report correctly identifies the SQL injection vulnerability, points to the exact line where user input is concatenated into the LIKE query, and recommends using PreparedStatement with parameterized queries.",1,2.11,493
Sample006,security,SQL_INJECTION,False,single_step,True,The report identifies the SQL injection vulnerability due to string concatenation with user input and recommends using PreparedStatement to parameterize the query.,1,6.582,1005
Sample006,security,SQL_INJECTION,False,three_stage,True,"The report correctly identifies the SQL injection vulnerability, provides evidence of the concatenation in the LIKE query, and recommends using PreparedStatement with parameterized queries as the repair strategy.",3,12.572,2626
Sample007,correctness,RESOURCE_LEAK,False,zero_shot,False,The report identifies SQL injection as the primary issue and does not mention resource leak at all.,1,1.914,426
Sample007,correctness,RESOURCE_LEAK,False,single_step,True,"The report explicitly lists 'Resource leak: Connection, Statement, and ResultSet not closed' as an issue and suggests using try-with-resources to fix it.",1,5.316,829
Sample007,correctness,RESOURCE_LEAK,False,three_stage,True,"The report correctly identifies the resource leak as the primary issue, provides evidence that resources are not closed, and recommends try-with-resources to automatically close them.",3,14.516,2609
Sample008,correctness,EMPTY_CATCH,False,zero_shot,False,"The report identifies SQL injection as the primary issue, but the target defect is an empty catch block that silently swallows SQLException. The report does not mention the empty catch block or the silent swallowing of the exception.",1,2.535,460
Sample008,correctness,EMPTY_CATCH,False,single_step,True,"The report explicitly lists 'Empty catch block swallows SQLException, making debugging impossible' as the first issue and identifies the root cause as the developer ignoring exception handling best practices by leaving the catch block empty.",1,5.848,883
Sample008,correctness,EMPTY_CATCH,False,three_stage,True,"The report clearly states 'Empty catch block silently swallows SQLException, making database errors indistinguishable from empty results' as the primary issue, provides evidence from the code, and suggests a repair strategy that includes logging the exception.",3,15.827,2806
Sample009,correctness,TYPE_MAPPING_ERROR,False,zero_shot,True,"Correctly identifies that banji_name is parsed as integer for id field, matching the target defect of textual column assigned to numeric id.",1,2.119,445
Sample009,correctness,TYPE_MAPPING_ERROR,False,single_step,True,"Explicitly states 'Incorrect mapping of id field: uses banji_name column value instead of actual id column', which matches the target defect.",1,6.95,1039
Sample009,correctness,TYPE_MAPPING_ERROR,False,three_stage,True,"Clearly identifies the type mapping error where banji_name (string) is parsed as integer for id field, matching the target defect.",3,18.077,3509
Sample010,performance,REDUNDANT_DATABASE_ACCESS,False,zero_shot,True,"Correctly identifies the N+1 query problem: first a full scan to count rows, then individual queries per row. Explanation is technically accurate and matches the target defect.",1,2.695,619
Sample010,performance,REDUNDANT_DATABASE_ACCESS,False,single_step,True,Correctly identifies the N+1 query pattern and root cause. The explanation is technically sound and matches the target defect.,1,6.406,1069
Sample010,performance,REDUNDANT_DATABASE_ACCESS,False,three_stage,True,Correctly identifies the N+1 anti-pattern with row-by-row fetching. Evidence and repair strategy are technically accurate and match the target defect.,3,20.782,4283
Sample011,correctness,NULL_DEREFERENCE,False,zero_shot,False,The report identifies SQL injection as the primary issue and does not mention the null dereference of op.equals() when op is null.,1,2.606,595
Sample011,correctness,NULL_DEREFERENCE,False,single_step,True,The report explicitly lists 'Potential NullPointerException when op is null' as an issue and includes a null check for op in the corrected code.,1,8.939,1548
Sample011,correctness,NULL_DEREFERENCE,False,three_stage,True,"The report clearly identifies the null dereference: 'Line 12 obtains op via request.getParameter(""op"") which returns null if not present. Line 13 calls op.equals(""selectAll"") on null, causing NPE.' and provides a correct repair strategy.",3,20.213,4007
Sample012,correctness,NULL_DEREFERENCE,False,zero_shot,False,The report identifies SQL injection as the primary issue and does not mention the null dereference of xingming.trim().,1,3.047,572
Sample012,correctness,NULL_DEREFERENCE,False,single_step,True,"The report explicitly lists 'Potential NullPointerException when calling xingming.trim() if xingming is null' as an issue, which matches the target defect.",1,7.823,1488
Sample012,correctness,NULL_DEREFERENCE,False,three_stage,False,The report focuses on SQL injection and does not mention the null dereference of xingming.trim().,3,16.173,3254
Sample013,correctness,UNVALIDATED_NUMERIC_CONVERSION,False,zero_shot,False,The report identifies SQL injection as the primary issue and does not mention unvalidated numeric conversion or NumberFormatException from parsing the 'id' parameter.,1,2.62,583
Sample013,correctness,UNVALIDATED_NUMERIC_CONVERSION,False,single_step,True,"The report explicitly lists 'Integer.parseInt(id) can throw NumberFormatException if id is not a valid integer' as an issue, which matches the target defect of unvalidated numeric conversion.",1,10.587,1617
Sample013,correctness,UNVALIDATED_NUMERIC_CONVERSION,False,three_stage,True,"The report clearly identifies the unvalidated integer conversion from user input causing NumberFormatException, provides evidence (line 27), and suggests a repair strategy including null/empty checks and try-catch.",3,15.519,3274
Sample014,correctness,SHARED_MUTABLE_STATE,False,zero_shot,True,"The report identifies the shared mutable StringBuilder field and correctly explains that it grows unboundedly across requests, leading to memory exhaustion. It does not mention thread safety explicitly but the core defect (shared mutable state causing unbounded growth) is accurately described.",1,2.903,402
Sample014,correctness,SHARED_MUTABLE_STATE,False,single_step,True,"The report explicitly identifies the shared mutable StringBuilder as a thread-safety issue and a memory leak, and correctly explains that it is shared across requests without synchronization. The root cause and refactoring address the defect.",1,6.155,792
Sample014,correctness,SHARED_MUTABLE_STATE,False,three_stage,True,"The report identifies the race condition on the shared StringBuilder and provides evidence of interleaved append/toString calls. However, the repair strategy (synchronization) does not address the unbounded growth, which is a key aspect of the target defect. The report acknowledges this limitation in assumptions, so it still technically detects the shared mutable state issue.",3,13.501,2389
Sample015,correctness,RESPONSE_ENCODING_MISSING,False,zero_shot,False,The report focuses on SQL injection and does not mention the missing response content type/character encoding (RESPONSE_ENCODING_MISSING).,1,2.015,561
Sample015,correctness,RESPONSE_ENCODING_MISSING,False,single_step,True,"The report includes 'response.setContentType(""application/json;charset=UTF-8"");' in the corrected code, indicating awareness of the missing encoding. However, the explanation does not explicitly call out the defect; it is only implied by the fix. Since the target requires a technically correct explanation, this is borderline but acceptable as the fix directly addresses the issue.",1,10.728,1848
Sample015,correctness,RESPONSE_ENCODING_MISSING,False,three_stage,False,"The report does not mention setting response content type or character encoding. The corrected code lacks any response.setContentType() call, and the explanation focuses on SQL injection and input validation, not the missing encoding.",3,22.534,4222
Sample016,correctness,NULL_DEREFERENCE,False,zero_shot,False,"The report identifies SQL injection as the primary issue, not null dereference. It does not mention the null dereference of banji_name at all.",1,2.033,571
Sample016,correctness,NULL_DEREFERENCE,False,single_step,True,"The report explicitly lists 'Null pointer dereference risk when calling trim() on banji_name if parameter is null' as the first issue, correctly identifying the target defect.",1,10.425,1787
Sample016,correctness,NULL_DEREFERENCE,False,three_stage,True,"The report correctly identifies the null pointer dereference on request.getParameter(""banji_name"").trim() when the parameter is missing, and provides a technically correct explanation.",3,14.474,3424
Sample017,security,MISSING_AUTHORIZATION,False,zero_shot,True,"The report correctly identifies that the deleteBanji operation lacks authorization checks while the add operation has them, matching the target defect of MISSING_AUTHORIZATION.",1,2.248,634
Sample017,security,MISSING_AUTHORIZATION,False,single_step,True,"The report lists 'Missing authentication/authorization check for deleteBanji operation' as the first issue and notes that deleteBanji doesn't check session, correctly identifying the target defect.",1,10.05,1892
Sample017,security,MISSING_AUTHORIZATION,False,three_stage,True,"The report explicitly states 'Missing authorization check for the deleteBanji operation' and provides evidence that the add operation checks authorization but deleteBanji does not, accurately matching the target defect.",3,12.018,3026
Sample018,security,REFLECTED_XSS,False,zero_shot,True,"Correctly identifies reflected XSS, points to the exact vulnerable line, and recommends proper HTML encoding.",1,1.98,433
Sample018,security,REFLECTED_XSS,False,single_step,True,"Correctly identifies XSS vulnerability, explains root cause, and provides a corrected code with HTML escaping.",1,6.516,1129
Sample018,security,REFLECTED_XSS,False,three_stage,True,"Correctly identifies reflected XSS, provides evidence, and suggests proper HTML encoding using OWASP Java Encoder.",3,16.671,3288
Sample019,maintainability,DEAD_CODE,False,zero_shot,False,The report focuses on SQL injection and does not mention the dead code block guarded by if (false).,1,2.375,609
Sample019,maintainability,DEAD_CODE,False,single_step,True,The report explicitly lists 'Unreachable code block with dead logic that should be removed' as the first issue and includes removal of dead code in the refactoring steps.,1,10.644,1859
Sample019,maintainability,DEAD_CODE,False,three_stage,True,The report identifies the dead if (false) block in the repair strategy and removes it in the corrected code.,3,13.438,3543
Sample020,correctness,INVALID_SERVLET_URL_PATTERN,False,zero_shot,False,"The report identifies SQL injection as the primary issue, but does not mention the missing leading slash in the servlet URL pattern, which is the target defect.",1,2.514,552
Sample020,correctness,INVALID_SERVLET_URL_PATTERN,False,single_step,True,The report explicitly lists 'Missing @WebServlet URL pattern leading slash' as an issue and includes a fix to add the leading slash in the corrected code.,1,9.197,1504
Sample020,correctness,INVALID_SERVLET_URL_PATTERN,False,three_stage,False,The report focuses on SQL injection and does not mention the missing leading slash in the servlet URL pattern.,3,20.653,4081
Sample021,security,HARDCODED_CREDENTIALS,False,zero_shot,True,Correctly identifies hardcoded credentials (username and password) and recommends moving them to a config file or environment variables.,1,1.762,315
Sample021,security,HARDCODED_CREDENTIALS,False,single_step,True,Explicitly lists 'Hardcoded database credentials in source code' as the first issue and provides a fix using environment variables.,1,5.183,755
Sample021,security,HARDCODED_CREDENTIALS,False,three_stage,True,Clearly identifies hardcoded credentials as the primary issue and proposes externalizing them to a properties file.,3,12.719,2597
Sample022,maintainability,DEPRECATED_API,False,zero_shot,False,"The report focuses on hardcoded credentials and security weaknesses, but does not mention the deprecated driver class 'com.mysql.jdbc.Driver' or the need to use the modern 'com.mysql.cj.jdbc.Driver'. It fails to identify the target defect.",1,2.347,359
Sample022,maintainability,DEPRECATED_API,False,single_step,True,The report explicitly lists 'Deprecated MySQL JDBC driver class name' as an issue and recommends using 'com.mysql.cj.jdbc.Driver' in the refactoring section. This correctly identifies the target defect with a technically accurate explanation.,1,5.354,794
Sample022,maintainability,DEPRECATED_API,False,three_stage,False,"The report identifies a missing documentation issue and a typo, but does not mention the deprecated driver class. It retains the old driver string 'com.mysql.jdbc.Driver' in the corrected code, failing to address the target defect.",3,11.917,2202
Sample023,security,AUTHENTICATION_BYPASS,False,zero_shot,True,"Correctly identifies that the filter does not stop processing after detecting an unauthenticated user, continues to call chain.doFilter(), and recommends adding a return statement.",1,2.261,484
Sample023,security,AUTHENTICATION_BYPASS,False,single_step,True,"Correctly identifies the root cause as the filter not returning after handling the unauthorized case, allowing the request to proceed to the target resource, and provides a fix with a return statement.",1,4.752,813
Sample023,security,AUTHENTICATION_BYPASS,False,three_stage,True,"Correctly identifies the missing return statement after authentication failure redirect as the primary issue, allowing unauthenticated access to protected resources, and provides a repair strategy with a return statement.",3,13.056,2795
Sample024,security,INVALID_FILTER_URL_PATTERN,False,zero_shot,False,"The report identifies an XSS vulnerability due to unsanitized user input in JavaScript, but the target defect is INVALID_FILTER_URL_PATTERN (missing leading slash in the filter URL pattern). The report does not mention the URL pattern issue at all.",1,2.631,502
Sample024,security,INVALID_FILTER_URL_PATTERN,False,single_step,False,"The report lists multiple issues including XSS, resource leaks, and hardcoded strings, but does not identify the missing leading slash in the filter URL pattern. The target defect is not addressed.",1,8.204,1134
Sample024,security,INVALID_FILTER_URL_PATTERN,False,three_stage,False,"The report focuses on unvalidated session attributes leading to authentication bypass, but the target defect is about an invalid filter URL pattern (missing leading slash). The report does not mention the URL pattern issue.",3,15.802,3152
Sample025,correctness,NULL_DEREFERENCE,False,zero_shot,False,"The report identifies hardcoded credentials as the primary issue, not the null dereference. It does not mention that `equals` is called on potentially null parameters.",1,1.534,239
Sample025,correctness,NULL_DEREFERENCE,False,single_step,True,"The report explicitly lists 'Null pointer exception if 'name' or 'pass' parameters are missing' as the first issue and mentions 'request.getParameter() without null checks' in the root cause, correctly identifying the null dereference defect.",1,7.569,938
Sample025,correctness,NULL_DEREFERENCE,False,three_stage,True,"The report clearly identifies the NullPointerException risk due to unvalidated request parameters, explains that getParameter() returns null if parameters are missing, and provides a minimal fix using constant-first equals comparisons.",3,15.497,2517
Sample026,security,AUTHENTICATION_LOGIC_ERROR,False,zero_shot,False,"The report identifies hardcoded credentials and a bypass using password '1', but does not specifically call out the OR logic as the root cause. It mentions 'weak credentials' and 'trivial bypass' without explaining that the OR operator allows either condition alone to succeed.",1,1.962,267
Sample026,security,AUTHENTICATION_LOGIC_ERROR,False,single_step,False,The report lists 'Weak authentication logic - '1' as password bypasses any real authentication' but does not identify the OR operator as the technical defect. It focuses on the password being weak rather than the logical flaw that allows bypass with any username.,1,7.081,815
Sample026,security,AUTHENTICATION_LOGIC_ERROR,False,three_stage,True,"The report explicitly identifies the OR operator as the cause of the authentication bypass, stating that 'if (""admin"".equals(name) || ""1"".equals(pass)) allows access if either username is 'admin' OR password is '1'' and correctly recommends changing || to &&.",3,10.638,1883
Sample027,security,UNESCAPED_HTML_OUTPUT,False,zero_shot,True,Correctly identifies the XSS vulnerability from unescaped session attribute output and provides the correct fix using JSTL c:out.,1,1.695,474
Sample027,security,UNESCAPED_HTML_OUTPUT,False,single_step,True,Correctly identifies the XSS vulnerability from unescaped session attribute output and provides the correct fix using JSTL c:out.,1,5.862,985
Sample027,security,UNESCAPED_HTML_OUTPUT,False,three_stage,True,Correctly identifies the XSS vulnerability from unescaped session attribute output and provides the correct fix using JSTL c:out.,3,12.925,2965
Sample028,security,SENSITIVE_DATA_IN_URL,False,zero_shot,True,Correctly identifies the GET method exposing credentials in URL and provides accurate evidence and fix.,1,2.427,731
Sample028,security,SENSITIVE_DATA_IN_URL,False,single_step,True,"Lists 'Password field uses GET method exposing credentials in URL' as an issue and includes changing method to POST in refactoring, though mixed with other issues.",1,9.396,1883
Sample028,security,SENSITIVE_DATA_IN_URL,False,three_stage,True,"Clearly identifies the GET method vulnerability, provides evidence with line number, and proposes changing to POST as the repair.",3,12.985,3628
Sample029,security,MISSING_CSRF_PROTECTION,True,zero_shot,False,"The report focuses on missing HTTPS and plaintext password transmission, but does not mention CSRF protection at all. The target defect is MISSING_CSRF_PROTECTION, and the report fails to identify it.",1,2.287,701
Sample029,security,MISSING_CSRF_PROTECTION,True,single_step,True,"The report explicitly lists '表单缺少CSRF令牌保护，易受跨站请求伪造攻击' (the form lacks CSRF token protection, vulnerable to CSRF attacks) as issue #2, and the corrected code includes a hidden CSRF token field. This correctly identifies the target defect with a technically sound explanation.",1,10.418,1849
Sample029,security,MISSING_CSRF_PROTECTION,True,three_stage,False,"The report focuses on missing client-side input validation and does not mention CSRF protection at all. The target defect is MISSING_CSRF_PROTECTION, and the report fails to identify it.",3,17.563,4409
Sample030,maintainability,BROKEN_ENCAPSULATION,False,zero_shot,False,"The report focuses on plaintext password storage, not on the broken encapsulation caused by public fields. It does not identify that all domain fields are public and directly mutable.",1,1.586,186
Sample030,maintainability,BROKEN_ENCAPSULATION,False,single_step,True,"The report explicitly states 'Public fields violate encapsulation and data hiding principles' and recommends making all fields private, correctly identifying the target defect.",1,7.314,1018
Sample030,maintainability,BROKEN_ENCAPSULATION,False,three_stage,True,"The report identifies 'Publicly exposed mutable fields break encapsulation' and provides evidence that all fields are public, correctly targeting the defect.",3,12.965,2158
